VehicleID,Scheme,TxBytes,RxBytes,TotalBytes
0,BASELINE_CRYPTO_ONLY,256,256,512
0,BABAGHAYOU_SAFETY_AWARE,400,350,750
0,OBFUSCATION,550,400,950
0,MDEE_COOP_SWAP,512,512,1024
0,RFPM,600,600,1200
0,BASELINE_COOP_SWAP,512,400,912
0,GLBSS,700,700,1400
1,BASELINE_CRYPTO_ONLY,256,256,512
1,BABAGHAYOU_SAFETY_AWARE,400,350,750
1,OBFUSCATION,550,400,950
1,MDEE_COOP_SWAP,512,512,1024
1,RFPM,600,600,1200
1,BASELINE_COOP_SWAP,512,400,912
1,GLBSS,700,700,1400
2,BASELINE_CRYPTO_ONLY,256,256,512
2,BABAGHAYOU_SAFETY_AWARE,400,350,750
2,OBFUSCATION,550,400,950
2,MDEE_COOP_SWAP,512,512,1024
2,RFPM,600,600,1200
2,BASELINE_COOP_SWAP,512,400,912
2,GLBSS,700,700,1400
3,BASELINE_CRYPTO_ONLY,256,256,512
3,BABAGHAYOU_SAFETY_AWARE,400,350,750
3,OBFUSCATION,550,400,950
3,MDEE_COOP_SWAP,512,512,1024
3,RFPM,600,600,1200
3,BASELINE_COOP_SWAP,512,400,912
3,GLBSS,700,700,1400
4,BASELINE_CRYPTO_ONLY,256,256,512
4,BABAGHAYOU_SAFETY_AWARE,400,350,750
4,OBFUSCATION,550,400,950
4,MDEE_COOP_SWAP,512,512,1024
4,RFPM,600,600,1200
4,BASELINE_COOP_SWAP,512,400,912
4,GLBSS,700,700,1400
5,BASELINE_CRYPTO_ONLY,256,256,512
5,BABAGHAYOU_SAFETY_AWARE,400,350,750
5,OBFUSCATION,550,400,950
5,MDEE_COOP_SWAP,512,512,1024
5,RFPM,600,600,1200
5,BASELINE_COOP_SWAP,512,400,912
5,GLBSS,700,700,1400
6,BASELINE_CRYPTO_ONLY,256,256,512
1,PROPOSED,700,300,1000
6,BABAGHAYOU_SAFETY_AWARE,400,350,750
6,OBFUSCATION,550,400,950
6,MDEE_COOP_SWAP,512,512,1024
6,RFPM,600,600,1200
6,BASELINE_COOP_SWAP,512,400,912
6,GLBSS,700,700,1400
7,BASELINE_CRYPTO_ONLY,256,256,512
7,BABAGHAYOU_SAFETY_AWARE,400,350,750
7,OBFUSCATION,550,400,950
7,MDEE_COOP_SWAP,512,512,1024
7,RFPM,600,600,1200
7,BASELINE_COOP_SWAP,512,400,912
7,GLBSS,700,700,1400
8,BASELINE_CRYPTO_ONLY,256,256,512
8,BABAGHAYOU_SAFETY_AWARE,400,350,750
8,OBFUSCATION,550,400,950
8,MDEE_COOP_SWAP,512,512,1024
8,RFPM,600,600,1200
8,BASELINE_COOP_SWAP,512,400,912
5,PROPOSED,700,300,1000
8,GLBSS,700,700,1400
9,BASELINE_CRYPTO_ONLY,256,256,512
0,PROPOSED,700,300,1000
9,BABAGHAYOU_SAFETY_AWARE,400,350,750
9,OBFUSCATION,550,400,950
9,MDEE_COOP_SWAP,512,512,1024
9,RFPM,600,600,1200
9,BASELINE_COOP_SWAP,512,400,912
9,GLBSS,700,700,1400
