VehicleID,Scheme,SilentPeriod,ZKPStatus,BlockchainDelay,TotalDelay
0,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
0,BASELINE_COOP_SWAP,0,N/A,0,0.5
1,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
1,BASELINE_COOP_SWAP,0,N/A,0,0.5
2,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
2,BASELINE_COOP_SWAP,0,N/A,0,0.5
3,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
3,BASELINE_COOP_SWAP,0,N/A,0,0.5
4,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
4,BASELINE_COOP_SWAP,0,N/A,0,0.5
5,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
5,BASELINE_COOP_SWAP,0,N/A,0,0.5
6,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
1,PROPOSED,2.57753,PASS,0.2,2.87753
6,BASELINE_COOP_SWAP,0,N/A,0,0.5
7,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
7,BASELINE_COOP_SWAP,0,N/A,0,0.5
8,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
8,BASELINE_COOP_SWAP,0,N/A,0,0.5
5,PROPOSED,1.79021,PASS,0.2,2.09021
9,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
0,PROPOSED,4.36075,PASS,0.2,4.66075
9,BASELINE_COOP_SWAP,0,N/A,0,0.5
10,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
2,PROPOSED,4.1324,FAIL,0,0
10,BASELINE_COOP_SWAP,0,N/A,0,0.5
11,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
6,PROPOSED,2.34089,PASS,0.2,2.64089
7,PROPOSED,2.1111,PASS,0.2,2.4111
3,PROPOSED,4.19376,PASS,0.2,4.49376
11,BASELINE_COOP_SWAP,0,N/A,0,0.5
12,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
12,BASELINE_COOP_SWAP,0,N/A,0,0.5
13,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
4,PROPOSED,4.64659,PASS,0.2,4.94659
13,BASELINE_COOP_SWAP,0,N/A,0,0.5
14,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
9,PROPOSED,2.45914,PASS,0.2,2.75914
14,BASELINE_COOP_SWAP,0,N/A,0,0.5
8,PROPOSED,3.21588,PASS,0.2,3.51588
15,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
13,PROPOSED,1.0652,PASS,0.2,1.3652
15,BASELINE_COOP_SWAP,0,N/A,0,0.5
16,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
10,PROPOSED,3.0536,FAIL,0,0
16,BASELINE_COOP_SWAP,0,N/A,0,0.5
17,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
14,PROPOSED,1.54893,PASS,0.2,1.84893
17,BASELINE_COOP_SWAP,0,N/A,0,0.5
18,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
11,PROPOSED,3.54285,PASS,0.2,3.84285
18,BASELINE_COOP_SWAP,0,N/A,0,0.5
19,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
12,PROPOSED,3.42788,PASS,0.2,3.72788
16,PROPOSED,1.43524,PASS,0.2,1.73524
19,BASELINE_COOP_SWAP,0,N/A,0,0.5
20,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
15,PROPOSED,2.60378,FAIL,0,0
20,BASELINE_COOP_SWAP,0,N/A,0,0.5
21,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
17,PROPOSED,1.87303,PASS,0.2,2.17303
21,BASELINE_COOP_SWAP,0,N/A,0,0.5
22,BASELINE_CRYPTO_ONLY,0,N/A,0,0.1
